Customers (D),Visits,Show,Spend,Customers (S),Media Week
0,0,Meaningful Conversations,$0 ,0,4/8/19
5,24,Moms and Murder,$559 ,11,4/8/19
24,66,"Mueller, She Wrote","$3,059 ",51,4/8/19
0,0,Other,$0 ,71,4/8/19
2,10,Pete and Sebastian Show,$0 ,5,4/8/19
0,0,Political Gabfest,$0 ,11,4/8/19
0,0,Pop Talk with Ross Mathews,$0 ,2,4/8/19
0,0,Rob Has A Podcast,$0 ,0,4/8/19
0,1,Scrubbing In,$0 ,2,4/8/19
0,9,Sexy Marriage Radio,$529 ,0,4/8/19
0,6,Southern Fried True Crime,$460 ,3,4/8/19
0,0,Still Watching,$0 ,2,4/8/19
0,0,Story Worthy,$0 ,0,4/8/19
0,0,Stuff You Should Know,$0 ,0,4/8/19
0,0,Taste of Taylor,$0 ,1,4/8/19
1,5,The Big O and Dukes Podcast,$0 ,3,4/8/19
0,1,The Brain Candy Podcast,$0 ,1,4/8/19
2,6,The Brooklyn Boys,$0 ,3,4/8/19
0,0,The Cut on Tuesdays,"$3,529 ",0,4/8/19
0,0,The Daily Dish,$0 ,1,4/8/19
0,0,The Hagmann Report,$0 ,0,4/8/19
0,0,The Happy Never After Podcast,$0 ,0,4/8/19
2,5,The Jtrain Podcast,$375 ,7,4/8/19
0,12,The Mike O'Meara Show,$550 ,2,4/8/19
11,42,The Morning Toast,$0 ,26,4/8/19
1,3,The Newsworthy,$247 ,3,4/8/19
0,1,The Real Life Podcast,$0 ,2,4/8/19
0,0,The Skinny Confidential,$0 ,2,4/8/19
0,0,The Struggle Well Project,$0 ,0,4/8/19
0,1,The Tai Lopez Show,$0 ,0,4/8/19
0,6,The Vanished,$0 ,5,4/8/19
5,81,True Crime Garage,$0 ,16,4/8/19
0,2,Whine Down with Jana Kramer,$0 ,5,4/8/19
1,13,Wine and Crime,$0 ,19,4/8/19
0,1,With Friends Like These,$0 ,2,4/8/19
0,0,Yogamazing,$0 ,0,4/8/19
7,65,Your Mom's House,"$7,059 ",16,4/8/19
1,2,A Sandwich & Some Lovin,$0 ,2,4/15/19
0,0,AJ Benza: Fame is a Bitch,$0 ,0,4/15/19
0,0,Alison Rosen is Your New Best Friend,$0 ,0,4/15/19
3,16,An Acquired Taste,$775 ,8,4/15/19
0,0,Babes & Babies,$0 ,0,4/15/19
0,4,Bear Brook Podcast,$0 ,4,4/15/19
13,88,Beawcast,"$1,200 ",12,4/15/19
0,5,Bertcasts Podcast,$0 ,2,4/15/19
0,3,Blank Check,$0 ,0,4/15/19
13,52,Call Her Daddy,$0 ,34,4/15/19
8,47,Casefile,$0 ,27,4/15/19
0,4,CoCo Caliente,$0 ,1,4/15/19
1,16,Coffee Convos,$0 ,9,4/15/19
2,56,Cold Case Files,"$5,000 ",10,4/15/19
7,33,Crime Junkie,$0 ,33,4/15/19
0,0,Dear Prudence,$0 ,3,4/15/19
0,0,Don't Keep Your Day Job,$0 ,0,4/15/19
5,27,For The Love,$0 ,14,4/15/19
0,0,Forever35,$0 ,0,4/15/19
5,8,Happier in Hollywood,$750 ,23,4/15/19
5,27,Happier with Gretchen Rubin,$0 ,34,4/15/19
0,0,Harvesting Happiness,$0 ,0,4/15/19
0,0,Help! I Suck at Dating,$0 ,0,4/15/19
0,0,Hollywood Unlocked UNCENSORED,$0 ,0,4/15/19
0,1,Inside The Hive with Nick Bilton,$0 ,0,4/15/19
1,2,Keith and the Girl,$0 ,1,4/15/19
1,21,KFC Radio,"$3,200 ",10,4/15/19
0,1,Lady to Lady,$0 ,6,4/15/19
0,17,LadyBrains,$0 ,0,4/15/19
0,3,LadyGang,$0 ,3,4/15/19
0,0,Meaningful Conversations,$0 ,0,4/15/19
0,1,Moms and Murder,$0 ,5,4/15/19
2,13,"Mueller, She Wrote",$0 ,24,4/15/19
0,0,Other,$0 ,71,4/15/19
0,3,Pete and Sebastian Show,$0 ,5,4/15/19
7,32,Political Gabfest,"$7,618 ",27,4/15/19
0,0,Pop Talk with Ross Mathews,$0 ,0,4/15/19
0,0,Rob Has A Podcast,$0 ,0,4/15/19
0,0,Scrubbing In,$0 ,2,4/15/19
0,8,Sexy Marriage Radio,$0 ,0,4/15/19
3,7,Southern Fried True Crime,$0 ,2,4/15/19
0,1,Still Watching,$0 ,0,4/15/19
0,0,Story Worthy,$0 ,0,4/15/19
1,1,Stuff You Should Know,$0 ,0,4/15/19
0,0,Taste of Taylor,$0 ,1,4/15/19
0,1,The Big O and Dukes Podcast,$0 ,0,4/15/19
7,33,The Brain Candy Podcast,$810 ,11,4/15/19
0,1,The Brooklyn Boys,$0 ,2,4/15/19
0,0,The Cut on Tuesdays,$0 ,0,4/15/19
0,0,The Daily Dish,$0 ,4,4/15/19
0,1,The Hagmann Report,$0 ,0,4/15/19
0,2,The Happy Never After Podcast,$0 ,0,4/15/19
3,8,The Jtrain Podcast,$0 ,4,4/15/19
15,66,The Love Hour,$530 ,17,4/15/19
0,7,The Mike O'Meara Show,$0 ,2,4/15/19
9,27,The Morning Toast,$0 ,25,4/15/19
0,0,The Newsworthy,$0 ,2,4/15/19
0,2,The Real Life Podcast,$0 ,0,4/15/19
0,2,The Skinny Confidential,$0 ,4,4/15/19
0,0,The Struggle Well Project,$0 ,2,4/15/19
0,0,The Tai Lopez Show,$0 ,0,4/15/19
7,31,The Vanished,"$3,625 ",18,4/15/19
4,23,True Crime Garage,$0 ,26,4/15/19
0,1,Whine Down with Jana Kramer,$0 ,4,4/15/19
3,8,Wine and Crime,$0 ,14,4/15/19
0,0,With Friends Like These,$0 ,1,4/15/19
0,0,Yogamazing,$0 ,0,4/15/19
5,18,Your Mom's House,$0 ,10,4/15/19
1,1,A Sandwich & Some Lovin,$0 ,2,4/22/19
0,0,AJ Benza: Fame is a Bitch,$0 ,0,4/22/19
0,0,Alison Rosen is Your New Best Friend,$0 ,0,4/22/19
3,14,An Acquired Taste,$0 ,3,4/22/19
0,0,Babes & Babies,$0 ,0,4/22/19
2,5,Bear Brook Podcast,"$3,500 ",9,4/22/19
1,10,Beawcast,$0 ,0,4/22/19
2,4,Bertcasts Podcast,$0 ,0,4/22/19
4,28,Blank Check,"$1,114 ",5,4/22/19
4,44,Call Her Daddy,"$6,825 ",17,4/22/19
7,55,Casefile,$0 ,20,4/22/19
0,1,CoCo Caliente,$0 ,3,4/22/19
0,3,Coffee Convos,$0 ,3,4/22/19
0,26,Cold Case Files,$0 ,4,4/22/19
2,35,Crime Junkie,$0 ,15,4/22/19
0,0,Dear Prudence,$0 ,3,4/22/19
0,0,Don't Keep Your Day Job,$0 ,0,4/22/19
6,45,For The Love,$0 ,13,4/22/19
0,0,Forever35,$0 ,0,4/22/19
2,8,Happier in Hollywood,$0 ,37,4/22/19
38,126,Happier with Gretchen Rubin,"$4,950 ",97,4/22/19
0,0,Harvesting Happiness,"$3,500 ",0,4/22/19
0,1,Help! I Suck at Dating,$0 ,3,4/22/19
0,0,Hollywood Unlocked UNCENSORED,$0 ,0,4/22/19
3,8,Inside The Hive with Nick Bilton,"$1,000 ",4,4/22/19
0,0,Keith and the Girl,$0 ,0,4/22/19
0,1,KFC Radio,$0 ,4,4/22/19
0,0,Lady to Lady,$0 ,2,4/22/19
0,22,LadyBrains,$0 ,0,4/22/19
13,56,LadyGang,"$3,700 ",16,4/22/19
0,0,Meaningful Conversations,$0 ,0,4/22/19
0,0,Moms and Murder,$0 ,1,4/22/19
1,4,"Mueller, She Wrote",$0 ,16,4/22/19
0,0,Other,$0 ,78,4/22/19
0,2,Pete and Sebastian Show,$0 ,1,4/22/19
2,25,Political Gabfest,$0 ,14,4/22/19
0,0,Pop Talk with Ross Mathews,$0 ,1,4/22/19
0,0,Rob Has A Podcast,$0 ,0,4/22/19
0,0,Scrubbing In,$0 ,0,4/22/19
0,3,Sexy Marriage Radio,$0 ,1,4/22/19
0,1,Southern Fried True Crime,$0 ,3,4/22/19
0,0,Still Watching,$0 ,2,4/22/19
0,0,Story Worthy,$0 ,0,4/22/19
0,2,Stuff You Should Know,$0 ,0,4/22/19
0,0,Taste of Taylor,$388 ,0,4/22/19
0,0,The Big O and Dukes Podcast,$0 ,1,4/22/19
1,17,The Brain Candy Podcast,$0 ,3,4/22/19
0,5,The Brooklyn Boys,$0 ,0,4/22/19
0,0,The Chalene Show,$0 ,0,4/22/19
0,0,The Cut on Tuesdays,$0 ,0,4/22/19
0,0,The Daily Dish,$0 ,0,4/22/19
0,2,The Hagmann Report,$0 ,0,4/22/19
1,1,The Happy Never After Podcast,$0 ,0,4/22/19
1,4,The Jtrain Podcast,$0 ,1,4/22/19
4,19,The Love Hour,$0 ,9,4/22/19
1,10,The Mike O'Meara Show,$0 ,5,4/22/19
15,53,The Morning Toast,"$2,950 ",30,4/22/19
1,6,The Newsworthy,$247 ,3,4/22/19
0,0,The Real Life Podcast,$600 ,3,4/22/19
7,33,The Skinny Confidential,"$7,647 ",12,4/22/19
1,1,The Struggle Well Project,$0 ,2,4/22/19
0,0,The Tai Lopez Show,$0 ,0,4/22/19
2,7,The Vanished,$0 ,7,4/22/19
2,12,True Crime Garage,$0 ,10,4/22/19
0,5,Whine Down with Jana Kramer,$0 ,0,4/22/19
8,34,Wine and Crime,"$2,372 ",19,4/22/19
6,34,With Friends Like These,"$4,000 ",8,4/22/19
0,0,Yogamazing,$0 ,0,4/22/19
1,10,Your Mom's House,$0 ,7,4/22/19
2,6,A Sandwich & Some Lovin,$700 ,5,4/29/19
0,0,AJ Benza: Fame is a Bitch,$0 ,0,4/29/19
0,0,Alison Rosen is Your New Best Friend,$0 ,0,4/29/19
2,5,An Acquired Taste,$0 ,2,4/29/19
0,0,Babes & Babies,$0 ,0,4/29/19
1,4,Bear Brook Podcast,$0 ,4,4/29/19
0,3,Beawcast,$0 ,0,4/29/19
0,2,Bertcasts Podcast,$0 ,0,4/29/19
5,28,Blank Check,$0 ,9,4/29/19
10,52,Call Her Daddy,$0 ,17,4/29/19
23,163,Casefile,"$12,500 ",32,4/29/19
0,0,CoCo Caliente,$0 ,2,4/29/19
5,25,Coffee Convos,"$3,625 ",8,4/29/19
3,40,Cold Case Files,$0 ,12,4/29/19
5,58,Crime Junkie,$0 ,23,4/29/19
3,12,Dear Prudence,"$1,059 ",4,4/29/19
0,0,Don't Keep Your Day Job,$0 ,0,4/29/19
0,1,Family Ghosts,$0 ,0,4/29/19
3,17,For The Love,$0 ,4,4/29/19
0,0,Forever35,$0 ,0,4/29/19
0,4,Happier in Hollywood,$0 ,19,4/29/19
13,64,Happier with Gretchen Rubin,$0 ,48,4/29/19
0,0,Harvesting Happiness,$0 ,0,4/29/19
1,10,Help! I Suck at Dating,"$2,300 ",3,4/29/19
0,0,Hollywood Unlocked UNCENSORED,$0 ,0,4/29/19
2,4,Inside The Hive with Nick Bilton,$0 ,4,4/29/19
0,0,Keith and the Girl,$0 ,0,4/29/19
1,3,KFC Radio,$0 ,3,4/29/19
0,4,Lady to Lady,$400 ,1,4/29/19
0,1,LadyBrains,$270 ,1,4/29/19
2,7,LadyGang,$0 ,5,4/29/19
0,0,Meaningful Conversations,$0 ,0,4/29/19
4,19,Moms and Murder,$559 ,7,4/29/19
15,67,"Mueller, She Wrote","$3,059 ",49,4/29/19
0,0,Other,$0 ,45,4/29/19
1,1,Pete and Sebastian Show,$375 ,4,4/29/19
0,1,Political Gabfest,$0 ,4,4/29/19
0,2,Pop Talk with Ross Mathews,$0 ,0,4/29/19
0,0,Rob Has A Podcast,$0 ,0,4/29/19
0,0,Scrubbing In,$0 ,0,4/29/19
0,0,Sexy Marriage Radio,$0 ,0,4/29/19
0,1,Southern Fried True Crime,$460 ,0,4/29/19
9,18,Still Watching,"$1,500 ",17,4/29/19
0,0,Story Worthy,$0 ,0,4/29/19
0,1,Stuff Mom Never Told You,$0 ,1,4/29/19
0,2,Stuff You Should Know,$0 ,3,4/29/19
0,0,Hollywood Unlocked UNCENSORED,$0 ,0,5/6/19
0,0,Hollywood Unlocked UNCENSORED,$0 ,0,5/13/19
0,0,Don't Keep Your Day Job,$0 ,0,5/6/19
0,0,Don't Keep Your Day Job,$0 ,0,5/13/19
0,1,Lady to Lady,$0 ,0,5/6/19
0,0,Alison Rosen is Your New Best Friend,$0 ,0,5/6/19
0,0,Lady to Lady,$0 ,1,5/13/19
0,0,Alison Rosen is Your New Best Friend,$0 ,0,5/13/19
0,0,Story Worthy,$0 ,0,5/6/19
0,0,Story Worthy,$0 ,0,5/13/19
0,0,The Daily Dish,$0 ,0,4/29/19
0,0,The Daily Dish,$0 ,0,5/6/19
0,0,The Daily Dish,$0 ,0,5/13/19
0,0,The Tai Lopez Show,$0 ,0,4/29/19
0,0,The Tai Lopez Show,$0 ,0,5/6/19
0,0,The Tai Lopez Show,$0 ,0,5/13/19
0,0,The Big O and Dukes Podcast,$0 ,0,4/29/19
0,0,The Big O and Dukes Podcast,$600 ,0,5/6/19
0,0,The Big O and Dukes Podcast,$0 ,1,5/13/19
3,10,Stuff You Should Know,"$6,525 ",9,5/6/19
0,7,Stuff You Should Know,$0 ,13,5/13/19
1,3,Still Watching,$0 ,5,5/6/19
0,0,Still Watching,$0 ,2,5/13/19
0,3,Your Mom's House,$0 ,2,4/29/19
0,0,Keith and the Girl,$0 ,0,5/6/19
0,2,Your Mom's House,$0 ,2,5/6/19
1,8,Beawcast,$0 ,1,5/6/19
0,0,Keith and the Girl,$0 ,0,5/13/19
8,52,Your Mom's House,"$7,059 ",19,5/13/19
11,107,Beawcast,"$1,200 ",7,5/13/19
0,11,The Skinny Confidential,$0 ,3,4/29/19
2,13,The Love Hour,$0 ,5,4/29/19
3,6,The Love Hour,$0 ,2,5/6/19
6,50,The Skinny Confidential,"$7,647 ",17,5/6/19
6,16,The Skinny Confidential,$0 ,10,5/13/19
7,46,The Love Hour,$530 ,12,5/13/19
0,2,Trumpcast,$0 ,0,5/6/19
0,0,Political Gabfest,$0 ,3,5/6/19
2,11,"Mueller, She Wrote",$0 ,14,5/6/19
0,0,Trumpcast,"$3,044 ",1,5/13/19
0,0,Political Gabfest,$0 ,6,5/13/19
18,83,"Mueller, She Wrote","$3,059 ",43,5/13/19
5,38,The Real Life Podcast,$0 ,9,4/29/19
1,7,The Real Life Podcast,$0 ,6,5/6/19
2,27,The Real Life Podcast,$600 ,6,5/13/19
0,1,The Viall Files,$0 ,0,4/29/19
0,42,CoCo Caliente,$750 ,2,5/6/19
4,34,The Viall Files,"$1,250 ",8,5/6/19
0,4,CoCo Caliente,$0 ,0,5/13/19
6,22,The Viall Files,$0 ,7,5/13/19
0,0,Forever35,$0 ,0,5/6/19
0,0,Harvesting Happiness,$0 ,0,5/6/19
0,0,Forever35,$0 ,0,5/13/19
0,0,Harvesting Happiness,$0 ,0,5/13/19
0,0,Taste of Taylor,$0 ,0,4/29/19
4,24,The Morning Toast,$0 ,11,4/29/19
2,6,Taste of Taylor,$0 ,2,5/6/19
3,20,The Morning Toast,$0 ,10,5/6/19
6,30,Call Her Daddy,$0 ,15,5/6/19
2,4,Taste of Taylor,$0 ,2,5/13/19
6,38,Call Her Daddy,$0 ,16,5/13/19
34,145,The Morning Toast,"$2,950 ",54,5/13/19
0,0,The Chalene Show,$0 ,0,4/29/19
0,0,Happier in Hollywood,$0 ,15,5/6/19
0,0,The Chalene Show,$0 ,0,5/6/19
21,91,Happier with Gretchen Rubin,"$4,800 ",76,5/6/19
0,3,Happier in Hollywood,$0 ,8,5/13/19
0,0,The Chalene Show,$0 ,0,5/13/19
4,30,Happier with Gretchen Rubin,$0 ,44,5/13/19
1,6,The Struggle Well Project,$279 ,3,4/29/19
0,0,Babes & Babies,$0 ,0,5/6/19
1,3,The Struggle Well Project,$0 ,3,5/6/19
0,3,The Struggle Well Project,$0 ,0,5/13/19
0,0,Babes & Babies,$0 ,0,5/13/19
0,0,The Newsworthy,$0 ,0,4/29/19
4,23,With Friends Like These,$0 ,9,4/29/19
1,6,The Newsworthy,$247 ,4,5/6/19
3,8,With Friends Like These,$0 ,12,5/6/19
0,0,The Newsworthy,$0 ,1,5/13/19
1,3,With Friends Like These,$0 ,4,5/13/19
0,6,For The Love,$0 ,2,5/6/19
8,27,For The Love,"$2,264 ",14,5/13/19
0,1,Ologies,$0 ,0,5/13/19
0,0,The Cut on Tuesdays,$0 ,0,4/29/19
1,7,The Brain Candy Podcast,$0 ,0,4/29/19
0,0,LadyBrains,$0 ,1,5/6/19
0,0,Meaningful Conversations,$0 ,0,5/6/19
0,4,An Acquired Taste,$0 ,3,5/6/19
0,7,The Brain Candy Podcast,$0 ,0,5/6/19
0,1,LadyGang,$0 ,2,5/6/19
0,0,The Cut on Tuesdays,"$3,529 ",0,5/6/19
0,0,Family Ghosts,"$4,500 ",0,5/6/19
2,2,Stuff Mom Never Told You,"$3,625 ",5,5/6/19
4,12,Coffee Convos,$0 ,11,5/6/19
0,2,LadyBrains,$0 ,0,5/13/19
0,0,Meaningful Conversations,$0 ,0,5/13/19
0,0,The Cut on Tuesdays,$0 ,0,5/13/19
1,4,An Acquired Taste,$775 ,5,5/13/19
1,7,Stuff Mom Never Told You,$0 ,4,5/13/19
1,7,Coffee Convos,$0 ,9,5/13/19
1,9,Family Ghosts,$0 ,4,5/13/19
3,17,The Brain Candy Podcast,$810 ,7,5/13/19
3,6,LadyGang,$0 ,8,5/13/19
0,0,Whine Down with Jana Kramer,$0 ,0,4/29/19
0,0,Scrubbing In,$0 ,0,5/6/19
0,0,Whine Down with Jana Kramer,$0 ,0,5/6/19
1,1,Scrubbing In,$0 ,0,5/13/19
2,6,Whine Down with Jana Kramer,$0 ,0,5/13/19
0,3,The Vanished,$0 ,6,4/29/19
0,0,Southern Fried True Crime,$0 ,1,5/6/19
0,5,Moms and Murder,$0 ,5,5/6/19
1,2,The Vanished,$0 ,2,5/6/19
7,50,Crime Junkie,$0 ,17,5/6/19
0,1,Southern Fried True Crime,$0 ,4,5/13/19
0,1,The Vanished,$0 ,6,5/13/19
2,3,Moms and Murder,$0 ,5,5/13/19
6,46,Crime Junkie,$0 ,23,5/13/19
0,4,The Jtrain Podcast,$0 ,1,4/29/19
0,0,The Brooklyn Boys,$890 ,1,4/29/19
0,0,Pete and Sebastian Show,$0 ,1,5/6/19
1,9,The Jtrain Podcast,$375 ,5,5/6/19
1,4,The Brooklyn Boys,$0 ,2,5/6/19
1,3,KFC Radio,$0 ,3,5/6/19
0,0,Pete and Sebastian Show,$0 ,0,5/13/19
0,4,The Brooklyn Boys,$0 ,3,5/13/19
1,8,The Jtrain Podcast,$0 ,5,5/13/19
6,39,KFC Radio,"$3,200 ",11,5/13/19
0,0,Yogamazing,$0 ,0,4/29/19
0,0,Yogamazing,$0 ,0,5/6/19
0,3,Dear Prudence,$0 ,1,5/6/19
2,16,Sexy Marriage Radio,$0 ,2,5/6/19
0,0,Yogamazing,$0 ,0,5/13/19
0,3,Sexy Marriage Radio,$529 ,0,5/13/19
0,1,Dear Prudence,$0 ,2,5/13/19
0,2,Inside The Hive with Nick Bilton,$0 ,0,5/6/19
0,0,Bear Brook Podcast,$0 ,2,5/6/19
0,0,Bear Brook Podcast,$0 ,3,5/13/19
1,4,Inside The Hive with Nick Bilton,$0 ,0,5/13/19
0,1,The Bellas,$0 ,0,4/29/19
0,0,AJ Benza: Fame is a Bitch,$0 ,0,5/6/19
0,2,Good Life Project,$0 ,1,5/6/19
1,2,Pop Talk with Ross Mathews,$250 ,5,5/6/19
17,72,The Bellas,"$7,500 ",21,5/6/19
0,0,AJ Benza: Fame is a Bitch,$0 ,0,5/13/19
0,0,Pop Talk with Ross Mathews,$0 ,2,5/13/19
3,30,Good Life Project,"$3,450 ",3,5/13/19
6,29,The Bellas,$0 ,7,5/13/19
0,0,Rob Has A Podcast,$0 ,0,5/6/19
0,3,Help! I Suck at Dating,$0 ,1,5/6/19
1,9,Blank Check,$0 ,2,5/6/19
0,0,Rob Has A Podcast,$0 ,0,5/13/19
0,7,Blank Check,$0 ,1,5/13/19
1,1,Help! I Suck at Dating,$0 ,0,5/13/19
9,102,True Crime Garage,"$4,918 ",31,4/29/19
0,0,Jensen and Holes: The Murder Squad,"$2,206 ",0,5/6/19
0,21,Cold Case Files,$0 ,3,5/6/19
2,47,True Crime Garage,$0 ,11,5/6/19
11,116,Casefile,$0 ,24,5/6/19
0,0,Jensen and Holes: The Murder Squad,$0 ,0,5/13/19
0,22,Cold Case Files,$0 ,5,5/13/19
1,19,True Crime Garage,$0 ,11,5/13/19
4,69,Casefile,$0 ,17,5/13/19
0,4,The Happy Never After Podcast,$290 ,0,4/29/19
1,5,A Sandwich & Some Lovin,$0 ,1,5/6/19
2,13,The Happy Never After Podcast,$0 ,0,5/6/19
0,0,A Sandwich & Some Lovin,$0 ,1,5/13/19
1,5,The Happy Never After Podcast,$0 ,0,5/13/19
1,20,Wine and Crime,$0 ,13,4/29/19
3,21,Wine and Crime,$0 ,14,5/6/19
1,5,Wine and Crime,$0 ,16,5/13/19
0,5,The Mike O'Meara Show,$0 ,0,4/29/19
0,0,Bertcasts Podcast,$0 ,0,5/6/19
2,9,The Mike O'Meara Show,$550 ,3,5/6/19
0,7,The Mike O'Meara Show,$0 ,0,5/13/19
1,1,Bertcasts Podcast,$0 ,0,5/13/19
0,1,The Hagmann Report,$0 ,0,4/29/19
0,3,The Hagmann Report,$0 ,0,5/6/19
0,1,The Hagmann Report,$0 ,0,5/13/19
0,0,Other,$0 ,51,5/6/19
0,0,Other,$0 ,69,5/13/19